City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
1,Sinazongwe,ZM,80.92,few clouds,-17.2614,27.4618,Lakeview Lodge
3,Samarai,PG,83.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
6,Rikitea,PF,77.65,light rain,-23.1203,-134.9692,People ThankYou
11,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Acarau,BR,80.89,scattered clouds,-2.8856,-40.12,castelo pizzaria
17,Gorontalo,ID,77.92,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
19,East London,ZA,71.85,light rain,-33.0153,27.9116,Tu Casa
27,Ixtapa,MX,79.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
29,Bubaque,GW,81.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Port Alfred,ZA,71.02,overcast clouds,-33.5906,26.891,The Halyards Hotel
34,Atuona,PF,79.11,few clouds,-9.8,-139.0333,Villa Enata
36,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Rio Claro,BR,81.52,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
39,Hilo,US,79.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Sahuaripa,MX,78.55,clear sky,29.05,-109.2333,Estatua de Sahuaripa
47,Namatanai,PG,84.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
53,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
58,Curuca,BR,79.0,broken clouds,-0.7289,-47.8481,Hotel Curuça
59,Aripuana,BR,75.47,overcast clouds,-9.1667,-60.6333,
60,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
62,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
67,Santa Luzia,BR,77.9,moderate rain,-19.7697,-43.8514,Pousada Chao Earth
69,Butaritari,KI,82.62,broken clouds,3.0707,172.7902,Isles Sunset Lodge
70,Morant Bay,JM,83.82,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
71,Kongolo,CD,70.34,light rain,-5.3833,27.0,GUEST HOUSE OASIS
75,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
92,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
93,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Bani,DO,81.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
95,Cidreira,BR,71.49,clear sky,-30.1811,-50.2056,Hotel Castelo
98,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
99,Vila Velha,BR,80.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
100,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
102,Maxixe,MZ,77.72,few clouds,-23.8597,35.3472,Oceano
103,Sola,VU,81.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
104,Vanimo,PG,82.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
105,Cabo San Lucas,MX,79.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
109,Mar Del Plata,AR,73.42,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
112,Kidal,ML,72.82,overcast clouds,18.4411,1.4078,
116,Harper,LR,79.9,scattered clouds,4.375,-7.7169,Screensaver
117,Poum,NC,77.67,heavy intensity rain,-20.2333,164.0167,Gîte kajeon
120,Amahai,ID,81.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
122,Castro,BR,71.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
125,Salinopolis,BR,81.73,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
128,Port Blair,IN,79.11,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
129,Anisoc,GQ,70.74,broken clouds,1.8658,10.7689,
135,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
136,Farafangana,MG,73.76,few clouds,-22.8167,47.8333,Miarina
137,Hambantota,LK,78.08,moderate rain,6.1241,81.1185,Bungalow 63
140,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
145,Broken Hill,AU,83.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
148,Hithadhoo,MV,80.83,overcast clouds,-0.6,73.0833,Scoop Guest House
149,Beira,MZ,82.49,clear sky,-19.8436,34.8389,Beira Terrace Hotel
